Date,Open,High,Low,Close,Currency
2019-06-26,41.43,41.43,41.43,41.43,USD
2019-06-27,41.52,41.52,41.52,41.52,USD
2019-06-28,41.73,41.73,41.73,41.73,USD
2019-07-01,41.94,41.94,41.94,41.94,USD
2019-07-02,42.07,42.07,42.07,42.07,USD
2019-07-03,42.36,42.36,42.36,42.36,USD
2019-07-05,42.24,42.24,42.24,42.24,USD
2019-07-08,42.06,42.06,42.06,42.06,USD
2019-07-09,42.05,42.05,42.05,42.05,USD
2019-07-10,42.19,42.19,42.19,42.19,USD
2019-07-11,42.26,42.26,42.26,42.26,USD
2019-07-12,42.39,42.39,42.39,42.39,USD
2019-07-15,42.43,42.43,42.43,42.43,USD
2019-07-16,42.28,42.28,42.28,42.28,USD
2019-07-17,42.07,42.07,42.07,42.07,USD
2019-07-18,42.23,42.23,42.23,42.23,USD
2019-07-19,42.05,42.05,42.05,42.05,USD
2019-07-22,42.08,42.08,42.08,42.08,USD
2019-07-23,42.31,42.31,42.31,42.31,USD
2019-07-24,42.4,42.4,42.4,42.4,USD
2019-07-25,42.25,42.25,42.25,42.25,USD
2019-07-26,42.41,42.41,42.41,42.41,USD
2019-07-29,42.44,42.44,42.44,42.44,USD
2019-07-30,42.36,42.36,42.36,42.36,USD
2019-07-31,41.97,41.97,41.97,41.97,USD
2019-08-01,41.69,41.69,41.69,41.69,USD
2019-08-02,41.52,41.52,41.52,41.52,USD
2019-08-05,40.68,40.68,40.68,40.68,USD
2019-08-06,41.03,41.03,41.03,41.03,USD
2019-08-07,41.09,41.09,41.09,41.09,USD
2019-08-08,41.69,41.69,41.69,41.69,USD
2019-08-09,41.62,41.62,41.62,41.62,USD
2019-08-12,41.27,41.27,41.27,41.27,USD
2019-08-13,41.68,41.68,41.68,41.68,USD
2019-08-14,40.72,40.72,40.72,40.72,USD
2019-08-15,40.85,40.85,40.85,40.85,USD
2019-08-16,41.31,41.31,41.31,41.31,USD
2019-08-19,41.69,41.69,41.69,41.69,USD
2019-08-20,41.42,41.42,41.42,41.42,USD
2019-08-21,41.73,41.73,41.73,41.73,USD
2019-08-22,41.72,41.72,41.72,41.72,USD
2019-08-23,40.87,40.87,40.87,40.87,USD
2019-08-26,41.27,41.27,41.27,41.27,USD
2019-08-27,41.26,41.26,41.26,41.26,USD
2019-08-28,41.49,41.49,41.49,41.49,USD
2019-08-29,41.87,41.87,41.87,41.87,USD
2019-08-30,41.95,41.95,41.95,41.95,USD
2019-09-03,41.75,41.75,41.75,41.75,USD
2019-09-04,42.1,42.1,42.1,42.1,USD
2019-09-05,42.42,42.42,42.42,42.42,USD
2019-09-06,42.54,42.54,42.54,42.54,USD
2019-09-09,42.49,42.49,42.49,42.49,USD
2019-09-10,42.52,42.52,42.52,42.52,USD
2019-09-11,42.71,42.71,42.71,42.71,USD
2019-09-12,42.82,42.82,42.82,42.82,USD
2019-09-13,42.61,42.61,42.61,42.61,USD
2019-09-16,42.6,42.6,42.6,42.6,USD
2019-09-17,42.74,42.74,42.74,42.74,USD
2019-09-18,42.76,42.76,42.76,42.76,USD
2019-09-19,42.77,42.77,42.77,42.77,USD
2019-09-20,42.65,42.65,42.65,42.65,USD
2019-09-23,42.64,42.64,42.64,42.64,USD
2019-09-24,42.46,42.46,42.46,42.46,USD
2019-09-25,42.56,42.56,42.56,42.56,USD
2019-09-26,42.57,42.57,42.57,42.57,USD
2019-09-27,42.45,42.45,42.45,42.45,USD
2019-09-30,42.57,42.57,42.57,42.57,USD
2019-10-01,42.08,42.08,42.08,42.08,USD
2019-10-02,41.38,41.38,41.38,41.38,USD
2019-10-03,41.65,41.65,41.65,41.65,USD
2019-10-04,42.13,42.13,42.13,42.13,USD
2019-10-07,41.99,41.99,41.99,41.99,USD
2019-10-08,41.48,41.48,41.48,41.48,USD
2019-10-09,41.77,41.77,41.77,41.77,USD
2019-10-10,42.0,42.0,42.0,42.0,USD
2019-10-11,42.29,42.29,42.29,42.29,USD
2019-10-14,42.22,42.22,42.22,42.22,USD
2019-10-15,42.48,42.48,42.48,42.48,USD
2019-10-16,42.41,42.41,42.41,42.41,USD
2019-10-17,42.49,42.49,42.49,42.49,USD
2019-10-18,42.47,42.47,42.47,42.47,USD
2019-10-21,42.64,42.64,42.64,42.64,USD
2019-10-22,42.56,42.56,42.56,42.56,USD
2019-10-23,42.58,42.58,42.58,42.58,USD
2019-10-24,42.59,42.59,42.59,42.59,USD
2019-10-25,42.6,42.6,42.6,42.6,USD
2019-10-28,42.67,42.67,42.67,42.67,USD
2019-10-29,42.76,42.76,42.76,42.76,USD
2019-10-30,42.89,42.89,42.89,42.89,USD
2019-10-31,42.78,42.78,42.78,42.78,USD
2019-11-01,43.07,43.07,43.07,43.07,USD
2019-11-04,43.12,43.12,43.12,43.12,USD
2019-11-05,43.07,43.07,43.07,43.07,USD
2019-11-06,43.15,43.15,43.15,43.15,USD
2019-11-07,43.3,43.3,43.3,43.3,USD
2019-11-08,43.39,43.39,43.39,43.39,USD
2019-11-11,43.33,43.33,43.33,43.33,USD
2019-11-12,43.37,43.37,43.37,43.37,USD
2019-11-13,43.42,43.42,43.42,43.42,USD
2019-11-14,43.49,43.49,43.49,43.49,USD
2019-11-15,43.77,43.77,43.77,43.77,USD
2019-11-18,43.78,43.78,43.78,43.78,USD
2019-11-19,43.7,43.7,43.7,43.7,USD
2019-11-20,43.61,43.61,43.61,43.61,USD
2019-11-21,43.58,43.58,43.58,43.58,USD
2019-11-22,43.63,43.63,43.63,43.63,USD
2019-11-25,43.88,43.88,43.88,43.88,USD
2019-11-26,43.97,43.97,43.97,43.97,USD
2019-11-27,44.06,44.06,44.06,44.06,USD
2019-11-29,43.93,43.93,43.93,43.93,USD
2019-12-02,43.62,43.62,43.62,43.62,USD
2019-12-03,43.38,43.38,43.38,43.38,USD
2019-12-04,43.69,43.69,43.69,43.69,USD
2019-12-05,43.72,43.72,43.72,43.72,USD
2019-12-06,44.02,44.02,44.02,44.02,USD
2019-12-09,43.94,43.94,43.94,43.94,USD
2019-12-10,43.92,43.92,43.92,43.92,USD
2019-12-11,43.99,43.99,43.99,43.99,USD
